Symbol,Sector,Marketcap,Revenuegrowth,PE,PEG,Longname
OKE,Energy,50332848128.0,0.682,15.738282,,"ONEOK, Inc."
ORCL,Technology,435581026304.0,0.064,36.46244,,Oracle Corporation
OTIS,Industrials,38062649344.0,-0.025,25.246075,,Otis Worldwide Corporation
PCAR,Industrials,48766066688.0,-0.149,14.096357,,PACCAR Inc
PKG,Consumer Cyclical,17089001472.0,0.082,19.84535,,Packaging Corporation of America
PLTR,Technology,290018295808.0,0.393,534.32086,,Palantir Technologies Inc.
PANW,Technology,123277983744.0,0.153,106.86705,,"Palo Alto Networks, Inc."
PARA,Communication Services,8429509120.0,-0.064,,,Paramount Global
PH,Industrials,83476086784.0,-0.022,25.155563,,Parker-Hannifin Corporation
PAYX,Technology,55768375296.0,0.048,32.18919,,"Paychex, Inc."
PAYC,Technology,14379272192.0,0.061,36.51387,,"Paycom Software, Inc."
PYPL,Financial Services,67921698816.0,0.012,15.694382,,"PayPal Holdings, Inc."
PNR,Industrials,15908116480.0,-0.007,24.984497,,Pentair plc
PEP,Consumer Defensive,175225389056.0,-0.018,18.766666,,"PepsiCo, Inc."
PFE,Healthcare,131587891200.0,-0.078,16.77174,,Pfizer Inc.
PCG,Utilities,37155078144.0,0.021,15.51055,,PG&E Corporation
PM,Consumer Defensive,275465109504.0,0.058,27.914038,,Philip Morris International Inc.
PSX,Energy,45478117376.0,-0.15,25.13964,,Phillips 66
PNW,Utilities,10701731840.0,0.085,17.748514,,Pinnacle West Capital Corporation
PNC,Financial Services,67533180928.0,0.049,12.0653715,,"The PNC Financial Services Group, Inc."
POOL,Industrials,11298485248.0,-0.044,28.139513,,Pool Corporation
PPG,Basic Materials,24835604480.0,-0.043,19.366371,,"PPG Industries, Inc."
PPL,Utilities,25297614848.0,0.087,25.537313,,PPL Corporation
PFG,Financial Services,17248135168.0,-0.088,16.474304,,"Principal Financial Group, Inc."
PG,Consumer Defensive,384826900480.0,-0.021,26.05357,,The Procter & Gamble Company
PGR,Financial Services,162812002304.0,0.184,18.72758,,The Progressive Corporation
PLD,Real Estate,95850119168.0,0.088,25.75935,,"Prologis, Inc."
PRU,Financial Services,35908698112.0,-0.427,15.99921,,"Prudential Financial, Inc."
PEG,Utilities,38612463616.0,0.167,21.142075,,Public Service Enterprise Group Incorporated
PTC,Technology,20202840064.0,0.055,46.145203,,PTC Inc.
PSA,Real Estate,51766177792.0,0.02,29.244795,,Public Storage
PHM,Consumer Cyclical,19569190912.0,-0.014,6.8953037,,"PulteGroup, Inc."
PWR,Industrials,49308774400.0,0.239,53.751213,,"Quanta Services, Inc."
QCOM,Technology,157332406272.0,0.169,14.621428,,QUALCOMM Incorporated
DGX,Healthcare,19012556800.0,0.121,21.558228,,Quest Diagnostics Incorporated
RL,Consumer Cyclical,16418329600.0,0.083,23.46293,,Ralph Lauren Corporation
RJF,Financial Services,29323071488.0,0.107,14.001926,,"Raymond James Financial, Inc."
RTX,Industrials,177734778880.0,0.052,39.01466,,RTX Corporation
O,Real Estate,49746161664.0,0.1,50.07727,,Realty Income Corporation
REG,Real Estate,12949797888.0,0.052,33.60664,,Regency Centers Corporation
REGN,Healthcare,63144407040.0,-0.037,14.870582,,"Regeneron Pharmaceuticals, Inc."
RF,Financial Services,18967422976.0,0.156,10.193237,,Regions Financial Corporation
RSG,Industrials,78524243968.0,0.038,37.90045,,"Republic Services, Inc."
RMD,Healthcare,35754262528.0,0.079,27.367565,,ResMed Inc.
RVTY,Healthcare,10435031040.0,0.023,36.58264,,"Revvity, Inc."
ROK,Industrials,34385141760.0,-0.059,38.469105,,"Rockwell Automation, Inc."
ROL,Consumer Cyclical,27462467584.0,0.099,57.237373,,"Rollins, Inc."
ROP,Technology,60952403968.0,0.12,40.814972,,"Roper Technologies, Inc."
ROST,Consumer Cyclical,42511659008.0,-0.018,20.42338,,"Ross Stores, Inc."
RCL,Consumer Cyclical,65044054016.0,0.073,19.473171,,Royal Caribbean Cruises Ltd.
SPGI,Financial Services,156392996864.0,0.082,40.058918,,S&P Global Inc.
CRM,Technology,268192153600.0,0.076,44.018898,,"Salesforce, Inc."
SBAC,Real Estate,24524859392.0,0.01,30.192461,,SBA Communications Corporation
SLB,Energy,45020741632.0,-0.025,11.29661,,Schlumberger Limited
STX,Technology,23602774016.0,0.305,16.002878,,Seagate Technology Holdings plc
SRE,Utilities,49760571392.0,0.045,16.76923,,Sempra
NOW,Technology,208518823936.0,0.186,135.77089,,"ServiceNow, Inc."
SHW,Basic Materials,87918346240.0,-0.011,33.12842,,The Sherwin-Williams Company
SPG,Real Estate,59003396096.0,0.021,24.872814,,"Simon Property Group, Inc."
SWKS,Technology,10303351808.0,-0.089,26.808594,,"Skyworks Solutions, Inc."
SJM,Consumer Defensive,11825057792.0,-0.019,,,The J. M. Smucker Company
SW,Consumer Cyclical,22898100224.0,1.613,53.493904,,Smurfit Westrock Plc
SNA,Industrials,16647885824.0,-0.03,16.659863,,Snap-on Incorporated
SOLV,Healthcare,12382539776.0,0.027,32.981567,,Solventum Corporation
SO,Utilities,97080762368.0,0.17,21.160671,,The Southern Company
LUV,Industrials,17560420352.0,0.016,34.623596,,Southwest Airlines Co.
SWK,Industrials,10085740544.0,-0.032,27.622883,,"Stanley Black & Decker, Inc."
SBUX,Consumer Cyclical,95400779776.0,0.023,30.527271,,Starbucks Corporation
STT,Financial Services,27246290944.0,0.052,10.759009,,State Street Corporation
STLD,Basic Materials,18942730240.0,-0.069,16.76741,,"Steel Dynamics, Inc."
STE,Healthcare,23847925760.0,0.043,39.339546,,STERIS plc
SYK,Healthcare,143359639552.0,0.119,50.624157,,Stryker Corporation
SMCI,Technology,23740704768.0,0.195,21.618914,,"Super Micro Computer, Inc."
SYF,Financial Services,21432891392.0,-0.236,7.7130136,,Synchrony Financial
SNPS,Technology,77023952896.0,-0.037,59.945843,,"Synopsys, Inc."
SYY,Consumer Defensive,34533732352.0,0.011,18.408268,,Sysco Corporation
TMUS,Communication Services,273070030848.0,0.066,23.508799,,"T-Mobile US, Inc."
TROW,Financial Services,20509214720.0,0.008,10.566401,,"T. Rowe Price Group, Inc."
TTWO,Communication Services,41076822016.0,0.131,,,"Take-Two Interactive Software, Inc."
TPR,Consumer Cyclical,16071051264.0,0.069,20.363157,,"Tapestry, Inc."
TRGP,Energy,34544250880.0,-0.0,29.380074,,Targa Resources Corp.
TGT,Consumer Defensive,42787549184.0,-0.028,10.3483515,,Target Corporation
TEL,Technology,46685392896.0,0.044,34.298473,,TE Connectivity plc
TDY,Technology,22668185600.0,0.074,27.690327,,Teledyne Technologies Incorporated
TER,Technology,12246462464.0,0.143,21.626062,,"Teradyne, Inc."
TSLA,Consumer Cyclical,1089586331648.0,-0.092,194.41379,,"Tesla, Inc."
TXN,Technology,159082528768.0,0.111,33.164772,,Texas Instruments Incorporated
TPL,Energy,29193871360.0,0.125,63.659145,,Texas Pacific Land Corporation
TXT,Industrials,13116158976.0,0.055,16.362614,,Textron Inc.
TMO,Healthcare,147776225280.0,0.002,22.94645,,Thermo Fisher Scientific Inc.
TJX,Consumer Cyclical,139896193024.0,0.051,29.482353,,"The TJX Companies, Inc."
TKO,Communication Services,12826182656.0,0.038,79.64467,,"TKO Group Holdings, Inc."
TSCO,Consumer Cyclical,26255652864.0,0.021,24.636816,,Tractor Supply Company
TT,Industrials,94561861632.0,0.112,34.955482,,Trane Technologies plc
TDG,Industrials,79444156416.0,0.12,47.70405,,TransDigm Group Incorporated
TRV,Financial Services,61222338560.0,0.052,14.701578,,"The Travelers Companies, Inc."
TRMB,Technology,16721370112.0,-0.118,11.433115,,Trimble Inc.
TFC,Financial Services,50908364800.0,0.028,,,Truist Financial Corporation
TYL,Technology,24436361216.0,0.103,85.34036,,"Tyler Technologies, Inc."
TSN,Consumer Defensive,19503810560.0,0.0,21.303503,,"Tyson Foods, Inc."
USB,Financial Services,66255224832.0,0.042,10.5259905,,U.S. Bancorp
UBER,Technology,183165583360.0,0.138,15.339754,,"Uber Technologies, Inc."
UDR,Real Estate,14859297792.0,0.012,109.48611,,"UDR, Inc."
ULTA,Consumer Cyclical,18260068352.0,-0.019,15.973539,,"Ulta Beauty, Inc."
UNP,Industrials,132904050688.0,-0.001,20.039865,,Union Pacific Corporation
UAL,Industrials,24201132032.0,0.054,6.742493,,"United Airlines Holdings, Inc."
UPS,Industrials,80776060928.0,-0.007,13.925548,,"United Parcel Service, Inc."
URI,Industrials,45335826432.0,0.067,18.088303,,"United Rentals, Inc."
UNH,Healthcare,268522504192.0,0.098,12.395729,,UnitedHealth Group Incorporated
UHS,Healthcare,11952405504.0,0.067,10.414374,,"Universal Health Services, Inc."
VLO,Energy,39867994112.0,-0.053,43.443684,,Valero Energy Corporation
VTR,Real Estate,28846966784.0,0.141,193.69696,,"Ventas, Inc."
VLTO,Industrials,24838150144.0,0.069,28.631428,,Veralto Corporation
VRSN,Technology,26345523200.0,0.047,34.341496,,"VeriSign, Inc."
VRSK,Industrials,43678777344.0,0.07,45.986744,,"Verisk Analytics, Inc."
VZ,Communication Services,181256159232.0,0.015,10.235691,,Verizon Communications Inc.
VRTX,Healthcare,111050579968.0,0.03,,,Vertex Pharmaceuticals Incorporated
VTRS,Healthcare,9676991488.0,-0.112,,,Viatris Inc.
VICI,Real Estate,32874250240.0,0.034,12.444,,VICI Properties Inc.
V,Financial Services,677840683008.0,0.093,35.56181,,Visa Inc.
VST,Utilities,52769517568.0,0.288,24.645008,,Vistra Corp.
VMC,Basic Materials,35315359744.0,0.058,37.54635,,Vulcan Materials Company
WRB,Financial Services,27560214528.0,0.089,16.85615,,W. R. Berkley Corporation
GWW,Industrials,51438936064.0,0.017,27.512077,,"W.W. Grainger, Inc."
WAB,Industrials,34047229952.0,0.045,31.136152,,Westinghouse Air Brake Technologies Corporation
WBA,Healthcare,9680741376.0,0.041,,,"Walgreens Boots Alliance, Inc."
WMT,Consumer Defensive,765685137408.0,0.025,40.897434,,Walmart Inc.
DIS,Communication Services,197392957440.0,0.07,22.408163,,The Walt Disney Company
WBD,Communication Services,21994729472.0,-0.098,,,"Warner Bros. Discovery, Inc."
WM,Industrials,94513561600.0,0.167,35.318794,,"Waste Management, Inc."
WAT,Healthcare,20349730816.0,0.039,31.059036,,Waters Corporation
WEC,Utilities,33566515200.0,0.175,20.502924,,"WEC Energy Group, Inc."
WFC,Financial Services,235537547264.0,-0.036,13.017985,,Wells Fargo & Company
WELL,Real Estate,97151107072.0,0.303,84.40909,,Welltower Inc.
WST,Healthcare,14731539456.0,0.004,32.138714,,"West Pharmaceutical Services, Inc."
WDC,Technology,17461344256.0,,17.14041,,Western Digital Corporation
WY,Real Estate,18099187712.0,-0.018,50.92857,,Weyerhaeuser Company
WSM,Consumer Cyclical,19717595136.0,0.042,18.162117,,"Williams-Sonoma, Inc."
WMB,Energy,70745317376.0,0.119,31.150537,,"The Williams Companies, Inc."
WTW,Financial Services,30475773952.0,-0.05,,,Willis Towers Watson Public Limited Company
WDAY,Technology,64473858048.0,0.15,133.91112,,"Workday, Inc."
WYNN,Consumer Cyclical,9470501888.0,-0.087,24.219252,,"Wynn Resorts, Limited"
XEL,Utilities,39565803520.0,0.07,20.17647,,Xcel Energy Inc.
XYL,Industrials,30152407040.0,0.018,33.39757,,Xylem Inc.
YUM,Consumer Cyclical,40420278272.0,0.118,28.96713,,"Yum! Brands, Inc."
ZBRA,Technology,14352100352.0,0.113,26.674858,,Zebra Technologies Corporation
ZBH,Healthcare,17996253184.0,0.011,20.213333,,"Zimmer Biomet Holdings, Inc."
ZTS,Healthcare,71709655040.0,0.014,28.917416,,Zoetis Inc.
